1.6976 	ERROR 	Requested audio device 'auto' that is not available on this hardware. The 'audioDevice' preference should be one of [u'Built-in Output']
7.2525 	EXP 	window1: blendMode = 'avg'
7.2692 	EXP 	window1: blendMode = 'avg'
7.2868 	EXP 	window1: blendMode = 'avg'
7.3023 	EXP 	window1: blendMode = 'avg'
7.3195 	EXP 	window1: blendMode = 'avg'
7.3363 	EXP 	window1: blendMode = 'avg'
7.3526 	EXP 	window1: blendMode = 'avg'
7.3693 	EXP 	window1: blendMode = 'avg'
7.3868 	EXP 	window1: blendMode = 'avg'
7.4032 	EXP 	window1: blendMode = 'avg'
7.4199 	EXP 	window1: blendMode = 'avg'
7.4366 	EXP 	window1: blendMode = 'avg'
7.4531 	EXP 	window1: blendMode = 'avg'
7.4699 	EXP 	window1: blendMode = 'avg'
7.4867 	EXP 	window1: blendMode = 'avg'
7.5033 	EXP 	window1: blendMode = 'avg'
7.5203 	EXP 	window1: blendMode = 'avg'
7.5371 	EXP 	window1: blendMode = 'avg'
7.5538 	EXP 	window1: blendMode = 'avg'
7.5709 	EXP 	window1: blendMode = 'avg'
7.5876 	EXP 	window1: blendMode = 'avg'
7.6043 	EXP 	window1: blendMode = 'avg'
7.6210 	EXP 	window1: blendMode = 'avg'
7.6378 	EXP 	window1: blendMode = 'avg'
7.6545 	EXP 	window1: blendMode = 'avg'
7.6712 	EXP 	window1: blendMode = 'avg'
7.6880 	EXP 	window1: blendMode = 'avg'
7.7045 	EXP 	window1: blendMode = 'avg'
7.7216 	EXP 	window1: blendMode = 'avg'
7.7382 	EXP 	window1: blendMode = 'avg'
7.7548 	EXP 	window1: blendMode = 'avg'
7.7715 	EXP 	window1: blendMode = 'avg'
7.7890 	EXP 	window1: blendMode = 'avg'
7.8049 	EXP 	window1: blendMode = 'avg'
7.8217 	EXP 	window1: blendMode = 'avg'
7.8384 	EXP 	window1: blendMode = 'avg'
7.8551 	EXP 	window1: blendMode = 'avg'
7.8720 	EXP 	window1: blendMode = 'avg'
7.8891 	EXP 	window1: blendMode = 'avg'
7.9061 	EXP 	window1: blendMode = 'avg'
7.9222 	EXP 	window1: blendMode = 'avg'
7.9390 	EXP 	window1: blendMode = 'avg'
7.9554 	EXP 	window1: blendMode = 'avg'
7.9722 	EXP 	window1: blendMode = 'avg'
7.9888 	EXP 	window1: blendMode = 'avg'
8.0056 	EXP 	window1: blendMode = 'avg'
8.0221 	EXP 	window1: blendMode = 'avg'
8.0392 	EXP 	window1: blendMode = 'avg'
8.0558 	EXP 	window1: blendMode = 'avg'
8.0725 	EXP 	window1: blendMode = 'avg'
8.0892 	EXP 	window1: blendMode = 'avg'
8.1059 	EXP 	window1: blendMode = 'avg'
8.1227 	EXP 	window1: blendMode = 'avg'
8.1393 	EXP 	window1: blendMode = 'avg'
8.1558 	EXP 	window1: blendMode = 'avg'
8.1724 	EXP 	window1: blendMode = 'avg'
8.1895 	EXP 	window1: blendMode = 'avg'
8.2062 	EXP 	window1: blendMode = 'avg'
8.2228 	EXP 	window1: blendMode = 'avg'
8.2398 	EXP 	window1: blendMode = 'avg'
8.2565 	EXP 	window1: blendMode = 'avg'
8.2731 	EXP 	window1: blendMode = 'avg'
8.2902 	EXP 	window1: blendMode = 'avg'
8.3072 	EXP 	window1: blendMode = 'avg'
8.3243 	EXP 	window1: blendMode = 'avg'
8.3401 	EXP 	window1: blendMode = 'avg'
8.3572 	EXP 	window1: blendMode = 'avg'
8.3742 	EXP 	window1: blendMode = 'avg'
8.3903 	EXP 	window1: blendMode = 'avg'
8.4074 	EXP 	window1: blendMode = 'avg'
8.4245 	EXP 	window1: blendMode = 'avg'
8.4405 	EXP 	window1: blendMode = 'avg'
8.4571 	EXP 	window1: blendMode = 'avg'
8.4739 	EXP 	window1: blendMode = 'avg'
8.4911 	EXP 	window1: blendMode = 'avg'
8.5073 	EXP 	window1: blendMode = 'avg'
8.5239 	EXP 	window1: blendMode = 'avg'
8.5407 	EXP 	window1: blendMode = 'avg'
8.5578 	EXP 	window1: blendMode = 'avg'
8.5742 	EXP 	window1: blendMode = 'avg'
